alias,title,id,name,review_count,rating,price,coordinates_latitude,coordinates_longitude,location_address1,categoria_estandarizada,rating_ponderado
sportsbars,Sports Bars,wSp2LIIE8CKszRtivUi9FA,Oso & The Bull,22,4.8,,41.854847657558665,-87.66353219999999,2009 S Laflin,Otro,4.3910779110809255
chicken_wings,Chicken Wings,wSp2LIIE8CKszRtivUi9FA,Oso & The Bull,22,4.8,,41.854847657558665,-87.66353219999999,2009 S Laflin,Otro,4.3910779110809255
tradamerican,American,wSp2LIIE8CKszRtivUi9FA,Oso & The Bull,22,4.8,,41.854847657558665,-87.66353219999999,2009 S Laflin,Carnes,4.3910779110809255
french,French,Uf1PX96VvJdx3o1-s1FQhA,Obelix,264,4.2,$$$$,41.8948501,-87.6386649,700 N Sedgwick St,Otro,4.313275745529113
wine_bars,Wine Bars,Uf1PX96VvJdx3o1-s1FQhA,Obelix,264,4.2,$$$$,41.8948501,-87.6386649,700 N Sedgwick St,Otro,4.313275745529113
mediterranean,Mediterranean,6vkSLiopzNspRfS7SnTz9Q,Galata Mediterranean Grill,19,5.0,,41.94299,-87.65288,3345 N Clark St,Vegetariano/Vegano,4.396035972223975
indpak,Indian,YdLvdRgc4cZXpbxJu5jtfg,Rasa Indian Cuisine And Bar,7,4.7,,41.93150467297976,-87.7110773,2763 N Milwaukee Ave,Carnes,4.377598953815075
wine_bars,Wine Bars,zDBpKDT-vMHoHtBxOTkqiA,Willow Room,428,4.2,$$,41.9139586307373,-87.6485445788551,1800 N Halsted St,Otro,4.293257187051986
newamerican,New American,zDBpKDT-vMHoHtBxOTkqiA,Willow Room,428,4.2,$$,41.9139586307373,-87.6485445788551,1800 N Halsted St,Carnes,4.293257187051986
cocktailbars,Cocktail Bars,zDBpKDT-vMHoHtBxOTkqiA,Willow Room,428,4.2,$$,41.9139586307373,-87.6485445788551,1800 N Halsted St,Otro,4.293257187051986
greek,Greek,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,437,4.2,,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Otro,4.292361440324699
mediterranean,Mediterranean,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,437,4.2,,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Vegetariano/Vegano,4.292361440324699
seafood,Seafood,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,437,4.2,,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Mariscos/Pescado,4.292361440324699
italian,Italian,tzP7xNT7OokI6JKgtINTlA,Antico,298,4.5,$$$,41.91746,-87.68281,1946 N Leavitt St,Vegetariano/Vegano,4.420479535819853
salad,Salad,0o0OGLHAWMfDXNuu4gQ58w,Avaspi,96,4.8,,41.93998824212478,-87.66121234241837,1258 W Belmont Ave,Vegetariano/Vegano,4.441850116752086
cocktailbars,Cocktail Bars,0o0OGLHAWMfDXNuu4gQ58w,Avaspi,96,4.8,,41.93998824212478,-87.66121234241837,1258 W Belmont Ave,Otro,4.441850116752086
mediterranean,Mediterranean,0o0OGLHAWMfDXNuu4gQ58w,Avaspi,96,4.8,,41.93998824212478,-87.66121234241837,1258 W Belmont Ave,Vegetariano/Vegano,4.441850116752086
pizza,Pizza,b04EoiyFImaaSL7tqv3L3Q,Milly’s Pizza In The Pan,207,4.6,$$,41.89872265254573,-87.6670329,925 N Ashland Ave,Vegetariano/Vegano,4.43952287069907
